NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type,Completion Date
NCT00478452,Dendritic Cell Vaccine for High Risk Ovarian Cancer Patients,https://clinicaltrials.gov/study/NCT00478452,COMPLETED,Ovarian Cancer|Fallopian Tube Cancer|Primary Peritoneal Carcinoma,BIOLOGICAL: DC-Ova|BIOLOGICAL: DC Ova with Cyclophosphamide,University of Pennsylvania,Fox Chase Cancer Center,INTERVENTIONAL,2008-08
NCT00050323,Safety/Efficacy of a Vaccine Prepared From Dendritic Cells Combined With Tumor Cells to Treat Advanced Kidney Cancer,https://clinicaltrials.gov/study/NCT00050323,COMPLETED,"Carcinoma, Renal Cell",DRUG: Allogeneic DCs and Autologous RCC Tumor Derived Cells,"Genzyme, a Sanofi Company",,INTERVENTIONAL,2004-03
NCT06243289,Improving KIdney Transplantation With Cellular Therapy Study,https://clinicaltrials.gov/study/NCT06243289,RECRUITING,Immune Tolerance|Kidney Transplant Rejection,OTHER: Tolerance induction,Western Sydney Local Health District,,OBSERVATIONAL,2027-01-01
NCT04438564,Immunoassay and Regulation of Traditional Chinese Medicine on Cancer Patients,https://clinicaltrials.gov/study/NCT04438564,RECRUITING,Breast Cancer|Colorectal Cancer|Cancer of Ovary|Cancer of Endometrium,"OTHER: Cases for patients diagnosed with breast cancer, colonrectal cancer, ovarian cancer and endometrial cancer",China Medical University Hospital,,INTERVENTIONAL,2023-07-31
NCT00128622,Denileukin Diftitox Followed by Vaccine Therapy in Treating Patients With Metastatic Cancer,https://clinicaltrials.gov/study/NCT00128622,COMPLETED,"Breast Cancer|Colorectal Cancer|Lung Cancer|Pancreatic Cancer|Unspecified Adult Solid Tumor, Protocol Specific",BIOLOGICAL: denileukin diftitox|BIOLOGICAL: recombinant fowlpox-CEA(6D)/TRICOM vaccine|BIOLOGICAL: therapeutic autologous dendritic cells,H. Kim Lyerly,National Cancer Institute (NCI),INTERVENTIONAL,2009-05
NCT02487550,DC Vaccine Therapy Combined With Cytokine-Induced Killer Cell in Treating,https://clinicaltrials.gov/study/NCT02487550,NOT_YET_RECRUITING,Renal Neoplasma,BIOLOGICAL: DC-CIK|BIOLOGICAL: IL-2/IFN-α,The First People's Hospital of Changzhou,,INTERVENTIONAL,2030-07
NCT01957956,Vaccine Therapy and Temozolomide in Treating Patients With Newly Diagnosed Glioblastoma,https://clinicaltrials.gov/study/NCT01957956,COMPLETED,Giant Cell Glioblastoma|Glioblastoma|Gliosarcoma,OTHER: Laboratory Biomarker Analysis|BIOLOGICAL: Malignant Glioma Tumor Lysate-Pulsed Autologous Dendritic Cell Vaccine|DRUG: Temozolomide,Mayo Clinic,,INTERVENTIONAL,2016-11-16
NCT03119025,Autologous Dendritic Cell Vaccine for Treatment of Patients With Chronic HCV-Infection,https://clinicaltrials.gov/study/NCT03119025,COMPLETED,"Hepatitis C, Chronic|Liver Diseases|Hepatitis|Virus Diseases",BIOLOGICAL: Autologous DC-vaccines,Russian Academy of Medical Sciences,,INTERVENTIONAL,2018-04
NCT04093323,"Polarized Dendritic Cell (aDC1) Based Treatment, Interferon Alpha-2, Rintatolimod, and Celecoxib for the Treatment of HLA-A2+ Refractory Melanoma",https://clinicaltrials.gov/study/NCT04093323,RECRUITING,HLA-A2 Positive Cells Present|Refractory Melanoma,BIOLOGICAL: Alpha-type-1 Polarized Dendritic Cells|DRUG: Celecoxib|DRUG: PD-1 Ligand Inhibitor|DRUG: PD1 Inhibitor|BIOLOGICAL: Recombinant Interferon Alfa-2b|DRUG: Rintatolimod,Roswell Park Cancer Institute,National Cancer Institute (NCI),INTERVENTIONAL,2025-11-22
NCT02678741,Multi-center Phase I/IIa Trial of an Autologous Tumor Lysate (TL) + Yeast Cell Wall Particles (YCWP) + Dendritic Cells (DC) Vaccine in Addition to Standard of Care Checkpoint Inhibitor of Choice in Metastatic Melanoma Patients With Measurable Disease.,https://clinicaltrials.gov/study/NCT02678741,COMPLETED,Metastatic Melanoma,DRUG: TLPLDC Vaccine,"Elios Therapeutics, LLC",LumaBridge,INTERVENTIONAL,2019-11-13
NCT01280552,A Study of ICT-107 Immunotherapy in Glioblastoma Multiforme (GBM),https://clinicaltrials.gov/study/NCT01280552,COMPLETED,Glioblastoma Multiforme,BIOLOGICAL: ICT-107|BIOLOGICAL: Placebo DC,Precision Life Sciences Group,,INTERVENTIONAL,2015-12
NCT02362464,Long-Term TARP Vaccination Using a Multi-Epitope TARP Peptide Autologous Dendritic Cell Vaccination in Previously Vaccinated Men on NCI 09-C-0139,https://clinicaltrials.gov/study/NCT02362464,COMPLETED,Prostatic Neoplasms|Neoplasms of Prostate|Prostate Cancer|Cancer Of Prostate|Stage D0 Prostate Cancer,BIOLOGICAL: Multi-epitope (ME) T-cell Receptor Alternate Reading Frame Protein (TARP) vaccine,National Cancer Institute (NCI),,INTERVENTIONAL,2022-03-25
NCT02285413,Platin-based Chemotherapeutics to Enhance Dendritic Cell Vaccine Efficacy in Melanoma Patients,https://clinicaltrials.gov/study/NCT02285413,COMPLETED,Melanoma,BIOLOGICAL: DC vaccination|BIOLOGICAL: DC vaccination with cisplatinum,Radboud University Medical Center,,INTERVENTIONAL,2016-04
NCT03334305,Adoptive Cellular Therapy in Pediatric Patients With High-grade Gliomas,https://clinicaltrials.gov/study/NCT03334305,ACTIVE_NOT_RECRUITING,Malignant Glioma|High Grade Glioma,BIOLOGICAL: TTRNA-DC vaccines with GM-CSF|DRUG: Dose-intensified TMZ|BIOLOGICAL: Autologous Hematopoietic Stem cells (HSCs)|BIOLOGICAL: TTRNA-xALT|DRUG: Td vaccine,University of Florida,National Pediatric Cancer Foundation|National Cancer Institute (NCI)|Moffitt Clinical Research Network (MCRN)|National Institutes of Health (NIH),INTERVENTIONAL,2028-05
NCT04739527,"Phase 1 Study to Evaluate the Safety, Feasibility and Immunogenicity of an Allogeneic, Cell-based Vaccine (DCP-001) in High Grade Serous Ovarian Cancer Patients After Primary Treatment",https://clinicaltrials.gov/study/NCT04739527,ACTIVE_NOT_RECRUITING,Ovarian Cancer,BIOLOGICAL: DCP-001,University Medical Center Groningen,Mendus,INTERVENTIONAL,2026-06-01
NCT05399433,Role of Glucose Metabolism in Migration of Cutaneous Dendritic Cells in Psoriasis,https://clinicaltrials.gov/study/NCT05399433,RECRUITING,Psoriasis,OTHER: Biopsy and venous blood,Centre Hospitalier Universitaire de Nice,,INTERVENTIONAL,2026-09-01
NCT02479230,Type I-Polarized Autologous Dendritic Cell Vaccine With Tumor Blood Vessel Antigen-Derived Peptides in Metastatic Breast Cancer Patients,https://clinicaltrials.gov/study/NCT02479230,COMPLETED,Breast Cancer|Metastatic Breast Cancer,BIOLOGICAL: tumor blood vessel antigen peptide-pulsed alpha-type-1 polarized dendritic cell vaccine|DRUG: gemcitabine hydrochloride,"Joseph Baar, MD, PhD",,INTERVENTIONAL,2022-07-01
NCT00499083,"Paclitaxel, Cyclophosphamide & Doxorubicin, Autologous Dendritic Cells & Surgery in Stage II/III Breast Cancer (Women)",https://clinicaltrials.gov/study/NCT00499083,COMPLETED,Breast Cancer,BIOLOGICAL: therapeutic autologous dendritic cells|DRUG: aromatase inhibition therapy|DRUG: cyclophosphamide|DRUG: doxorubicin hydrochloride|DRUG: paclitaxel|DRUG: tamoxifen citrate|GENETIC: gene expression analysis|GENETIC: protein expression analysis|GENETIC: reverse transcriptase-polymerase chain reaction|OTHER: immunoenzyme technique|OTHER: immunohistochemistry staining method|OTHER: laboratory biomarker analysis|PROCEDURE: adjuvant therapy|PROCEDURE: biopsy|PROCEDURE: conventional surgery|PROCEDURE: neoadjuvant therapy|RADIATION: radiation therapy,University of Nebraska,National Cancer Institute (NCI),INTERVENTIONAL,2010-01-28
NCT05539365,Dendritic Cell-Based Treatment Plus Immunotherapy for the Treatment of Metastatic or Unresectable Triple Negative Breast Cancer,https://clinicaltrials.gov/study/NCT05539365,NOT_YET_RECRUITING,Anatomic Stage III Breast Cancer AJCC v8|Anatomic Stage IV Breast Cancer AJCC v8|Metastatic Triple-Negative Breast Carcinoma|Unresectable Triple-Negative Breast Carcinoma,BIOLOGICAL: Alpha-type-1 Polarized Dendritic Cells|PROCEDURE: Biopsy|PROCEDURE: Computed Tomography|PROCEDURE: Leukapheresis|BIOLOGICAL: Pembrolizumab|OTHER: Quality-of-Life Assessment,Roswell Park Cancer Institute,,INTERVENTIONAL,2026-10-01
NCT01995708,"CT7, MAGE-A3, and WT1 mRNA-electroporated Autologous Langerhans-type Dendritic Cells as Consolidation for Multiple Myeloma Patients Undergoing Autologous Stem Cell Transplantation",https://clinicaltrials.gov/study/NCT01995708,COMPLETED,Multiple Myeloma,"BIOLOGICAL: CT7, MAGE-A3, and WT1 mRNA-electroporated Langerhans cells ( LCs)|OTHER: Standard of care",Memorial Sloan Kettering Cancer Center,,INTERVENTIONAL,2022-06-20
NCT02159937,In Vitro Functional Modulation of Monocyte-derived Dendritic Cells of Patients With Cancer by Peptides,https://clinicaltrials.gov/study/NCT02159937,COMPLETED,Metastatic Cancer,OTHER: Blood sampling by vena punction.,Recepta Biopharma,,OBSERVATIONAL,2014-12
NCT01373515,Leukemic Dendritic Cell Vaccination in Patients With Acute Myeloid Leukemia,https://clinicaltrials.gov/study/NCT01373515,COMPLETED,Acute Myeloid Leukemia (AML)|Leukemic Dendritic Cell Vaccination,BIOLOGICAL: DCP-001,Mendus,,INTERVENTIONAL,2013-05
NCT05100641,AV-GBM-1 vs Control as Adjunctive Therapy Following Surgery and RT/TMZ in Newly Diagnosed GBM,https://clinicaltrials.gov/study/NCT05100641,NOT_YET_RECRUITING,Primary Glioblastoma,BIOLOGICAL: AV-GBM-1|BIOLOGICAL: Autologous monocytes,"Aivita Biomedical, Inc.",,INTERVENTIONAL,2029-03
NCT02611180,Dendritic Cells in Patients With Acute or Chronic Skin Graft Versus Host Disease,https://clinicaltrials.gov/study/NCT02611180,RECRUITING,Acute Graft-versus-host Disease|Acute GVHD|Chronic Graft-versus-host Disease|Chronic GVHD,PROCEDURE: Skin punch biopsy|PROCEDURE: Peripheral blood draw,Washington University School of Medicine,,OBSERVATIONAL,2025-04-30
NCT00004604,Biological Therapy in Treating Patients With Metastatic Cancer,https://clinicaltrials.gov/study/NCT00004604,COMPLETED,Breast Cancer|Colorectal Cancer|Extrahepatic Bile Duct Cancer|Gallbladder Cancer|Gastric Cancer|Head and Neck Cancer|Liver Cancer|Lung Cancer|Metastatic Cancer|Ovarian Cancer|Pancreatic Cancer|Testicular Germ Cell Tumor,BIOLOGICAL: CEA RNA-pulsed DC cancer vaccine,Duke University,National Cancer Institute (NCI),INTERVENTIONAL,2002-07
NCT00320164,Anti-Pseudomonas Immune Status and Dendritic Cell Preparation in Normal Individuals,https://clinicaltrials.gov/study/NCT00320164,COMPLETED,Healthy,,Weill Medical College of Cornell University,,OBSERVATIONAL,2008-01
NCT01863108,Safety Study of a Dendritic Cell-based Cancer Vaccine in Melanoma,https://clinicaltrials.gov/study/NCT01863108,COMPLETED,Melanoma|Tumor Vaccines|Effects of Immunotherapy,BIOLOGICAL: GeniusVac-Mel4,"University Hospital, Grenoble","Etablissement Français du Sang|Institut National de la Santé Et de la Recherche Médicale, France|Université Joseph Fourier",INTERVENTIONAL,2017-03-23
NCT02113982,Tagraxofusp in Patients With Blastic Plasmacytoid Dendritic Cell Neoplasm or Acute Myeloid Leukemia,https://clinicaltrials.gov/study/NCT02113982,COMPLETED,Blastic Plasmacytoid Dendritic Cell Neoplasm (BPDCN)|Acute Myeloid Leukemia (AML),DRUG: Tagraxofusp,"Stemline Therapeutics, Inc.",The Leukemia and Lymphoma Society,INTERVENTIONAL,2020-03-12
NCT02018458,Safety Study Of Chemotherapy Combined With Dendritic Cell Vaccine to Treat Breast Cancer,https://clinicaltrials.gov/study/NCT02018458,COMPLETED,Breast Cancer,BIOLOGICAL: LA TNBC: DC vaccine+Preop chemo|BIOLOGICAL: ER+/HER2-BC:DC vaccine+Preop chemo,Baylor Research Institute,,INTERVENTIONAL,2019-09-18
NCT05650918,MesoPher/Mitazalimab-combination Therapy in Metastatic Pancreatic Disease (REACtiVe-2 Trial),https://clinicaltrials.gov/study/NCT05650918,COMPLETED,Metastatic Pancreatic Cancer,BIOLOGICAL: MesoPher|BIOLOGICAL: Mitazalimab,"Joachim Aerts, MD PhD",,INTERVENTIONAL,2023-05-23
NCT05457959,"Peptide-Pulsed Dendritic Cell Vaccination in Combination With Nivolumab and Ipilimumab for the Treatment of Recurrent and/or Progressive Diffuse Hemispheric Glioma, H3 G34-mutant",https://clinicaltrials.gov/study/NCT05457959,NOT_YET_RECRUITING,"Diffuse Hemispheric Glioma, H3 G34-Mutant",BIOLOGICAL: Dendritic Cell Tumor Peptide Vaccine|BIOLOGICAL: Ipilimumab|PROCEDURE: Leukapheresis|BIOLOGICAL: Nivolumab|DRUG: Placebo Administration|DRUG: Placebo Administration|DRUG: Poly ICLC|PROCEDURE: Resection,Jonsson Comprehensive Cancer Center,,INTERVENTIONAL,2030-05-01
NCT00625989,The Effect of Allergen Inhalation on Sputum Myeloid and Plasmacytoid Dendritic Cells in Mild Atopic Asthmatics,https://clinicaltrials.gov/study/NCT00625989,COMPLETED,Asthma,DRUG: Aeroallergen,Hamilton Health Sciences Corporation,,INTERVENTIONAL,2008-12
NCT01241682,Dendritic Cell-based Immunotherapy Combined With Low-dose Cyclophosphamide in Patients With Malignant Mesothelioma,https://clinicaltrials.gov/study/NCT01241682,COMPLETED,Malignant (Pleural) Mesothelioma,BIOLOGICAL: DC + CTX,Erasmus Medical Center,,INTERVENTIONAL,2012-10
NCT05195619,Personalized DC Vaccines in Non Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT05195619,RECRUITING,Non-small Cell Lung Cancer,BIOLOGICAL: Autologous dendritic cell vaccine loaded with personalized peptides (PEP-DC vaccine)|DRUG: Low dose cyclophosphamide,Centre Hospitalier Universitaire Vaudois,,INTERVENTIONAL,2024-09
NCT02301611,Phase IIB TL + YCWP + DC in Melanoma,https://clinicaltrials.gov/study/NCT02301611,COMPLETED,Melanoma,DRUG: TLPLDC|DRUG: Placebo,"Cancer Insight, LLC","Elios Therapeutics, LLC",INTERVENTIONAL,2022-05-11
NCT00279058,The Role of Peptide-loaded Dendritic Cells to Augment the Therapeutic Effect of Interleukin-2,https://clinicaltrials.gov/study/NCT00279058,COMPLETED,Metastatic Melanoma,PROCEDURE: Immunotherapy treatment for melanoma,Hadassah Medical Organization,,INTERVENTIONAL,2008-12
NCT00404339,Vaccine Therapy in Treating Patients With Head and Neck Cancer,https://clinicaltrials.gov/study/NCT00404339,COMPLETED,Head and Neck Cancer,BIOLOGICAL: mutant p53 peptide pulsed dendritic cell vaccine|BIOLOGICAL: tetanus toxoid helper peptide|PROCEDURE: adjuvant therapy,Robert Ferris,National Cancer Institute (NCI),INTERVENTIONAL,2014-03
NCT03450122,"Modified T Cells, Chemotherapy, and Aldesleukin With or Without LV305 and CMB305 in Treating Participants With Advanced or Recurrent Sarcoma",https://clinicaltrials.gov/study/NCT03450122,COMPLETED,HLA-A*0201 Positive Cells Present|NY-ESO-1 Positive Tumor Cells Present|Recurrent Myxoid Liposarcoma|Recurrent Synovial Sarcoma,BIOLOGICAL: Aldesleukin|BIOLOGICAL: Autologous NY-ESO-1-specific CD8-positive T Lymphocytes|DRUG: Cyclophosphamide|BIOLOGICAL: Dendritic Cell-targeting Lentiviral Vector ID-LV305,M.D. Anderson Cancer Center,,INTERVENTIONAL,2022-12-06
NCT00912574,Evaluation of the Effects of Local Granulocyte-Macrophage Colony-Stimulating Factor (GM-CSF) in Adjuvant Administration on Dendritic Cells in Skin of Melanoma Patients and in Sentinel Lymph Nodes: MEL38,https://clinicaltrials.gov/study/NCT00912574,COMPLETED,Melanoma,DRUG: GM-CSF-in-adjuvant|DRUG: Montanide ISA-51|BIOLOGICAL: GM-CSF and Montanide ISA-51|DRUG: Saline,University of Virginia,,INTERVENTIONAL,
NCT05411497,Genetically Engineered Cells (MUC1-Activated T-Cells) for the Treatment of MUC1 Positive Recurrent or Refractory Multiple Myeloma,https://clinicaltrials.gov/study/NCT05411497,RECRUITING,Recurrent Plasma Cell Myeloma|Refractory Plasma Cell Myeloma,BIOLOGICAL: Autologous MUC1-activated T-cells|DRUG: Cyclophosphamide,Mayo Clinic,,INTERVENTIONAL,2025-10-01
NCT03895996,"Safety, Tolerability and Potential Efficacy of AVT001 in Patients With Type 1 Diabetes",https://clinicaltrials.gov/study/NCT03895996,COMPLETED,Type 1 Diabetes Mellitus,DRUG: AVT001|OTHER: Placebo,Avotres Inc.,,INTERVENTIONAL,2023-12-19
NCT03592888,DC Vaccine in Pancreatic Cancer,https://clinicaltrials.gov/study/NCT03592888,COMPLETED,Pancreatic Ductal Adenocarcinoma,DRUG: mDC3/8-KRAS Vaccine,University of Pennsylvania,,INTERVENTIONAL,2024-02-12
NCT00003792,Vaccine Therapy in Treating Patients With Metastatic Melanoma,https://clinicaltrials.gov/study/NCT00003792,COMPLETED,Melanoma (Skin),BIOLOGICAL: MART-1 antigen|BIOLOGICAL: filgrastim|BIOLOGICAL: flu matrix peptide p58-66|BIOLOGICAL: gp100 antigen|BIOLOGICAL: recombinant MAGE-3.1 antigen|BIOLOGICAL: tyrosinase peptide|PROCEDURE: in vitro-treated peripheral blood stem cell transplantation,Baylor Health Care System,National Cancer Institute (NCI),INTERVENTIONAL,2006-10
NCT00698776,Combination of Lenalidomide and Autologous Mature Dendritic Cells Pulsed With KRN7000 in Myeloma,https://clinicaltrials.gov/study/NCT00698776,COMPLETED,Myeloma,DRUG: Lenalidomide|BIOLOGICAL: Monocyte derived DCs loaded with KRN7000,Yale University,"Kyowa Kirin Co., Ltd.|Celgene",INTERVENTIONAL,2011-05
NCT01885702,Dendritic Cell Vaccination in Patients With Lynch Syndrome or Colorectal Cancer With MSI,https://clinicaltrials.gov/study/NCT01885702,ACTIVE_NOT_RECRUITING,Colorectal Cancer,BIOLOGICAL: DC vaccination,Radboud University Medical Center,,INTERVENTIONAL,2024-12
NCT05325632,"Study of HER2 Directed Dendritic Cell (DC1) Vaccine + Weekly Paclitaxel, Trastuzumab & Pertuzumab",https://clinicaltrials.gov/study/NCT05325632,RECRUITING,HER2-positive Breast Cancer,BIOLOGICAL: HER-2 pulsed DC1|DRUG: Trastuzumab|DRUG: Pertuzumab|DRUG: Paclitaxel|PROCEDURE: Resection surgery,H. Lee Moffitt Cancer Center and Research Institute,ImmunoRestoration,INTERVENTIONAL,2025-01-31
NCT01159288,Trial of a Vaccination With Tumor Antigen-loaded Dendritic Cell-derived Exosomes,https://clinicaltrials.gov/study/NCT01159288,COMPLETED,Non Small Cell Lung Cancer,BIOLOGICAL: Dex2,"Gustave Roussy, Cancer Campus, Grand Paris",,INTERVENTIONAL,2015-12-19
NCT01395056,Study of Chemotherapy With Adoptive Cellular Therapy With DC-CIK Cells in Triple Negative Breast Cancer Patients,https://clinicaltrials.gov/study/NCT01395056,COMPLETED,Breast Neoplasms|Neoplasm Metastasis,,Peking University Cancer Hospital & Institute,,OBSERVATIONAL,2015-06
NCT03990493,Intratumoral Injection of PV-001-DV Plus DC in Patients With Melanoma,https://clinicaltrials.gov/study/NCT03990493,NOT_YET_RECRUITING,Advanced Melanoma,BIOLOGICAL: Dengue Virus-1 #45AZ5 (PV-001-DV)|BIOLOGICAL: Autologous Monocyte-derived Lysate Pulsed Dendritic Cells (PV-001-DC),PrimeVax Immuno-Oncology Inc.,Walter Reed Army Institute of Research (WRAIR),INTERVENTIONAL,2024-12-31
NCT06026202,Non-Eosinophilic Biological Effects of IL-5,https://clinicaltrials.gov/study/NCT06026202,RECRUITING,Asthma,,Imperial College London,,OBSERVATIONAL,2024-09-30
NCT02159495,Genetically Modified T-cell Immunotherapy in Treating Patients With Relapsed/Refractory Acute Myeloid Leukemia and Persistent/Recurrent Blastic Plasmacytoid Dendritic Cell Neoplasm,https://clinicaltrials.gov/study/NCT02159495,ACTIVE_NOT_RECRUITING,Adult Acute Myeloid Leukemia in Remission|Acute Biphenotypic Leukemia|Early Relapse of Acute Myeloid Leukemia|Late Relapse of Acute Myeloid Leukemia|Recurrent Adult Acute Myeloid Leukemia|Secondary Acute Myeloid Leukemia|Blastic Plasmacytoid Dendritic Cell Neoplasm|Acute Myeloid Leukemia|Adult Acute Lymphoblastic Leukemia|Interleukin-3 Receptor Subunit Alpha Positive|Minimal Residual Disease|Refractory Acute Myeloid Leukemia|Untreated Adult Acute Myeloid Leukemia,DRUG: cyclophosphamide|BIOLOGICAL: Autologous CD123CAR-CD28-CD3zeta-EGFRt-expressing T Lymphocytes|OTHER: laboratory biomarker analysis|BIOLOGICAL: Allogeneic CD123CAR-CD28-CD3zeta-EGFRt-expressing T-lymphocytes|DRUG: Fludarabine Phosphate,City of Hope Medical Center,"National Cancer Institute (NCI)|Mustang Bio, Inc.",INTERVENTIONAL,2024-12-15
NCT00100906,Sequential ATRA Then IL-2 for Modulation of Dendritic Cells and Treatment of Metastatic Renal Cell Cancer,https://clinicaltrials.gov/study/NCT00100906,COMPLETED,Kidney Cancer,DRUG: IL-2|DRUG: ATRA,H. Lee Moffitt Cancer Center and Research Institute,National Cancer Institute (NCI)|National Institutes of Health (NIH)|Chiron Corporation,INTERVENTIONAL,2013-07
NCT05007496,"Preventive Dendritic Cell Vaccine, AV-COVID-19, in Subjects Not Actively Infected With COVID-19",https://clinicaltrials.gov/study/NCT05007496,COMPLETED,COVID-19,BIOLOGICAL: AV-COVID-19,"Aivita Biomedical, Inc.",PT AIVITA Biomedika Indonesia|Kariadi Hospital|Central Army Hospital RSPAD Gatot Soebroto,INTERVENTIONAL,2021-05-31
NCT06046144,Comparison of 3 in Vivo Microscopic Imaging Techniques for the Diagnosis of Pigmented Tumors,https://clinicaltrials.gov/study/NCT06046144,COMPLETED,Basal Cell Carcinoma|Lentigo Maligna|Melanoma|Nevus|Seborrheic Keratosis|Lentigo,DIAGNOSTIC_TEST: Fluorescence-Advanced videodermatoscopy|DIAGNOSTIC_TEST: Reflectance confocal microscopy|DIAGNOSTIC_TEST: Super-high magnification dermoscopy,Centre Hospitalier Universitaire de Saint Etienne,,OBSERVATIONAL,2023-05-01
NCT04214717,Study of DC-CIK Combined With Chemotherapy for Advanced Solid Tumor,https://clinicaltrials.gov/study/NCT04214717,RECRUITING,Solid Tumor,COMBINATION_PRODUCT: DC-CIK combined with Chemotherapy|DRUG: Chemotherapy,Yantai Yuhuangding Hospital,,INTERVENTIONAL,2024-12-31
NCT01123265,National Psoriasis Foundation - Dendritic Cell-Specific Transmembrane Protein (DC-Stamp) Biomarker Study,https://clinicaltrials.gov/study/NCT01123265,COMPLETED,Psoriatic Arthritis,DRUG: Methotrexate|DRUG: Anti-TNF,University of Rochester,National Psoriasis Foundation,OBSERVATIONAL,2014-06
NCT04837547,PEACH TRIAL- Precision Medicine and Adoptive Cellular Therapy,https://clinicaltrials.gov/study/NCT04837547,RECRUITING,Neuroblastoma|Diffuse Intrinsic Pontine Glioma,BIOLOGICAL: Tumor-specific ex vivo expanded autologous lymphocyte transfer (TTRNA-xALT),University of Florida,Beat Childhood Cancer Research Consortium,INTERVENTIONAL,2030-09
NCT01042535,Vaccine Therapy and 1-MT in Treating Patients With Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT01042535,COMPLETED,"Male Breast Cancer|Recurrent Breast Cancer|Stage IV Breast Cancer|Unspecified Adult Solid Tumor, Protocol Specific",BIOLOGICAL: adenovirus-p53 transduced dendritic cell (DC) vaccine|DRUG: 1-methyl-d-tryptophan|OTHER: Laboratory biomarker analysis,H. Lee Moffitt Cancer Center and Research Institute,National Cancer Institute (NCI),INTERVENTIONAL,2018-02-27
NCT00289341,Safety and Effectiveness of a Vaccine for Prostate Cancer That Uses Each Patients' Own Immune Cells.,https://clinicaltrials.gov/study/NCT00289341,COMPLETED,Prostate Cancer,BIOLOGICAL: vaccine vehicle only|BIOLOGICAL: DC/LNCaP,Rockefeller University,,INTERVENTIONAL,2008-11
NCT03788083,Intratumoral TriMix Injections in Early Breast Cancer Patients,https://clinicaltrials.gov/study/NCT03788083,RECRUITING,Breast Cancer Female|Early-stage Breast Cancer,DRUG: Trimix|DRUG: Placebo,Universitair Ziekenhuis Brussel,eTheRNA immunotherapies,INTERVENTIONAL,2024-12-30
NCT00334776,Vaccine Therapy in Treating Patients With Metastatic Melanoma,https://clinicaltrials.gov/study/NCT00334776,COMPLETED,Intraocular Melanoma|Melanoma (Skin),BIOLOGICAL: MART-1 antigen|BIOLOGICAL: gp100:209-217(210M) peptide vaccine|BIOLOGICAL: therapeutic autologous dendritic cells|BIOLOGICAL: tyrosinase peptide,University of Southern California,National Cancer Institute (NCI),INTERVENTIONAL,2005-06
NCT00683241,A Phase I Clinical Trial of Autologous Dendritic Cell Vaccine for Recurrent Ovarian or Primary Peritoneal Cancer,https://clinicaltrials.gov/study/NCT00683241,COMPLETED,Ovarian Cancer|Peritoneal Cancer,BIOLOGICAL: DCVac-L,Abramson Cancer Center at Penn Medicine,"Northwest Biotherapeutics|University of California, San Francisco",INTERVENTIONAL,2009-12
NCT06370026,KSD-101 Therapy for Standard Treatment Failed EBV-associated NPC: an Exploratory Clinical Trial,https://clinicaltrials.gov/study/NCT06370026,NOT_YET_RECRUITING,Nasopharyngeal Carcinoma,BIOLOGICAL: KSD-101,Sun Yat-sen University,"Kousai Bio Co., Ltd.",INTERVENTIONAL,2026-12-31
NCT00558051,Alpha-type-1 Dendritic Cell-based Vaccines in Patients With Metastatic Colorectal Cancer,https://clinicaltrials.gov/study/NCT00558051,COMPLETED,Metastatic Colorectal Cancer,BIOLOGICAL: DC-based vaccine|BIOLOGICAL: DC-based vaccine|BIOLOGICAL: DC-based vaccine,Pawel Kalinski,,INTERVENTIONAL,2014-04
NCT03743298,Safety of AV-MEL-1 With Anti-PD-1 Therapy in Metastatic Melanoma,https://clinicaltrials.gov/study/NCT03743298,RECRUITING,Metastatic Melanoma,DRUG: AV-MEL-1,"Aivita Biomedical, Inc.",,INTERVENTIONAL,2026-05
NCT03485547,"Study of Venetoclax, a BCL2 Antagonist, for Patients With Blastic Plasmacytoid Dendritic Cell Neoplasm (BPDCN)",https://clinicaltrials.gov/study/NCT03485547,ACTIVE_NOT_RECRUITING,Blastic Plasmacytoid Dendritic Cell Neoplasm,DRUG: Venetoclax,Dana-Farber Cancer Institute,AbbVie,INTERVENTIONAL,2025-01-19
NCT03360630,Anti-PD-1 Alone or Combined With Autologous Cell Therapy in Advanced NSCLC,https://clinicaltrials.gov/study/NCT03360630,COMPLETED,Lung Cancer|Neoplasms,BIOLOGICAL: Anti-PD-1 plus DC-CIK|BIOLOGICAL: Anti-PD-1 alone,Capital Medical University,Duke University|Geneplus-Beijing Co. Ltd.,INTERVENTIONAL,2023-06-01
NCT01096602,Blockade of PD-1 in Conjunction With the Dendritic Cell/AML Vaccine Following Chemotherapy Induced Remission,https://clinicaltrials.gov/study/NCT01096602,ACTIVE_NOT_RECRUITING,Acute Myelogenous Leukemia|AML,BIOLOGICAL: DC AML Vaccine,Beth Israel Deaconess Medical Center,"National Institutes of Health (NIH)|Medivation, Inc.|The Leukemia and Lymphoma Society|Dana-Farber Cancer Institute",INTERVENTIONAL,2024-06
NCT00083538,Study of Tumor Antigen-Pulsed Autologous Dendritic Cell Vaccination Administrated Subcutaneously or Intranodally,https://clinicaltrials.gov/study/NCT00083538,COMPLETED,Multiple Myeloma,DRUG: Dexamethasone|DRUG: Thalidomide|DRUG: Cisplatinum|DRUG: Adriamycin|DRUG: Cyclophosphamide|DRUG: Etoposide,University of Arkansas,,INTERVENTIONAL,2007-12
